index,proper_name,distance,mass,radius
0,SDSS J000013.54+255418.6 [de],46.1,2.1782751532505863e-50,1.573476850449917e-17
1,2MASS J00040288-6410358,192.0,8.622339148283577e-51,2.590674006296531e-17
2,2MASS J00242463-0158201,37.7,3.5850778563915914e-50,1.7324139060508614e-17
3,2MASS J00274197+0503417,236.0,1.4068027031410044e-50,2.2886936006555914e-17
4,2MASSW J0030300-145033,87.2,2.450559547406911e-50,1.5575831448903935e-17
5,2MASS J00332386-1521309 [de],131.0,1.3160412384222298e-50,2.2727998950946416e-17
6,2MASS J00345157+0523050,31.0,1.9059907590942638e-50,1.494008322649445e-17
7,2MASS 0036+1821,28.6,1.9059907590942638e-50,1.494008322649445e-17
8,2MASSW J0045214+163445,57.0,1.0437568442659061e-50,2.574780300737004e-17
9,WISEP J004701.06+680352.1 [fr],40.0,5.445687883126465e-51,2.0661817228136988e-17
10,2MASS J00501994-3322402 [de],34.0,1.8152292943754902e-50,1.494008322649445e-17
11,2MASS J00584253-0651239 [de],96.0,1.3160412384222298e-50,2.2727998950946416e-17
12,2MASSI J0103320+193536,70.0,2.3597980826881364e-50,1.5575831448903935e-17
13,SDSSp J010752.33+004156.1 [de],51.0,2.3597980826881364e-50,1.5575831448903935e-17
14,2MASSI J0117474-340325 [de],163.0,9.076146471877451e-51,2.574780300737004e-17
15,2MASS J01415823-4633574 [de],130.0,9.076146471877451e-51,2.5588865951774806e-17
16,SDSS J015141.69+124429.6,70.0,2.1328944208911993e-50,1.5416894393294425e-17
17,SDSS J020742.48+000056.2 [de],111.0,2.1328944208911993e-50,1.5416894393294425e-17
18,2MASS J02103857-3015313,101.0,6.807109853908084e-51,2.431736950695586e-17
19,2MASS J02340093-6442068,155.0,9.076146471877451e-51,2.574780300737004e-17
20,2MASS J02411151-0326587 [de],152.0,1.2252797737034557e-50,2.2410124839755932e-17
21,2MASS J02431371−2453298,35.0,1.4975641678597785e-50,1.573476850449917e-17
22,LP 771-21,53.0,3.5396971240322034e-50,1.716520200491336e-17
23,Teegarden's star,12.578,3.630458588750978e-50,2.0185006061337e-17
24,2MASS J02535980+3206373,184.0,2.9497476033601694e-50,3.01980405642079e-17
25,WISE J0254+0223,24.0,2.9497476033601694e-50,3.01980405642079e-17
26,DEN 0255-4700,16.2,3.630458588750978e-50,1.5416894393294425e-17
27,2MASS J03185403-3421292 [de],45.0,2.223655885609974e-50,1.5416894393294425e-17
28,2MASS J03205965+1854233,47.0,3.9935044476260763e-50,1.8277761394122817e-17
29,2MASS J03231002-4631237,192.0,1.0437568442659061e-50,2.638355122977955e-17
30,SDSS J032553.17+042540.1,59.0,2.0421329561724256e-50,1.5099020282089688e-17
31,2MASS J03264225-2102057 [de],80.0,8.168531824689698e-51,2.0661817228136988e-17
32,2MASS J03284265+2302051 [de],98.0,2.450559547406911e-50,1.5575831448903935e-17
33,2MASS J03341218-4953322,27.0,3.312793462235266e-50,1.6529453782503886e-17
34,LP 944-20,20.9,3.312793462235266e-50,2.2727998950946416e-17
35,2MASP J0345432+254023,88.0,3.3581741945946557e-50,1.6688390838113387e-17
36,Teide 1,380.0,2.4959402797662975e-50,6.007820701721105e-17
